"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Algeria,ALG,Cedric SI MOHAMMED,Goalkeeper,1,0,182,Algeria - Niger 26 May 2012,09 Jan 1985,CS Constantine ,ALG,http://img.fifa.com/images/fwc/2014/players/prt-3/356166.png
Algeria,ALG,Madjid BOUGUERRA,Defender,65,4,189,Zimbabwe - Algeria 20 Jun 2004,07 Oct 1982,Lekhwiya SC ,QAT,http://img.fifa.com/images/fwc/2014/players/prt-3/215208.png
Algeria,ALG,Faouzi GHOULAM,Defender,8,0,184,Algeria - Benin 26 Mar 2013,01 Feb 1991,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/364088.png
Algeria,ALG,Esseid BELKALEM,Defender,16,1,190,Libya - Algeria 09 Sep 2012,01 Jan 1989,Watford FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/356162.png
Algeria,ALG,Rafik HALLICHE,Defender,33,2,187,Senegal - Algeria 31 May 2008,02 Sep 1986,Academica Coimbra ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/296827.png
Algeria,ALG,Djamel MESBAH,Defender,28,0,179,Republic of Ireland - Algeria 28 May 2010,09 Oct 1984,AS Livorno ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/323339.png
Algeria,ALG,Hassan YEBDA,Midfielder,26,2,188,Algeria - Rwanda 11 Oct 2009,14 May 1984,Udinese Calcio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/183882.png
Algeria,ALG,Medhi LACEN,Midfielder,33,0,175,-,15 Mar 1984,Getafe CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/321682.png
Algeria,ALG,Nabil GHILAS,Forward,8,2,183,Algeria - Burkina Faso 02 Jun 2013,20 Apr 1990,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/367261.png
Algeria,ALG,Sofiane FEGHOULI,Forward,23,6,177,Gambia - Algeria 29 Feb 2012,26 Dec 1989,Valencia CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/319358.png
Algeria,ALG,Yacine BRAHIMI,Midfielder,9,1,171,Algeria - Benin 26 Mar 2013,08 Feb 1990,Granada CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/366309.png
Algeria,ALG,Carl MEDJANI,Defender,29,1,180,Algeria - Gabon 11 Aug 2010,15 May 1985,Valenciennes FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/239237.png
Algeria,ALG,Islam SLIMANI,Forward,24,12,188,Algeria - Niger 26 May 2012,18 Jun 1988,Sporting CP ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/354859.png
